District,Zone,Latitude,Longitude
Chandel,Green,24.3274,93.9926
Churachandpur,Green,24.3466,93.7002
Imphal East,Green,24.9039,94.0390
Imphal West,Green,24.7828,93.8859
Jiribam,Green,24.8000,93.1200
Kakching,Green,24.4800,93.9800
Kamjong,Green,24.8656,94.5106
Kangpokpi,Green,25.1489,93.9706
Noney,Green,24.8596,93.6240
Pherzawl,Green,24.3244,93.2175
Senapati,Green,25.2727,94.0265
Tamenglong,Green,24.9833,93.4833
Tengnoupal,Green,24.3727,94.2156
Thoubal,Green,24.6300,94.0200
Ukhrul,Green,24.8140,93.9503
Agar Malwa,Orange,26.8040,82.7413
Alirajpur,Orange,22.3403,74.4995
Anuppur,Green,23.1152,81.7005
Ashoknagar,Green,24.5775,77.7319
Balaghat,Green,21.8129,80.1838
Barwani,Red,22.0363,74.9033
Betul,Orange,21.9012,77.8960
Bhind,Green,26.5857,78.7705
Bhopal,Red,23.2500,77.4100
Burhanpur,Orange,21.3004,76.1300
Chhatarpur,Green,24.9157,79.5822
Chhindwara,Orange,22.0700,78.9300
Damoh,Green,23.8400,79.4500
Datia,Green,25.6700,78.4700
Dewas,Red,22.9600,76.0600
Dhar,Red,22.6000,75.3000
Dindori,Orange,22.8457,81.0755
Guna,Orange,24.6500,77.3200
Gwalior,Red,26.2215,78.1780
Harda,Orange,22.3355,77.0996
Hoshangabad,Orange,22.7441,77.7370
Indore,Red,22.7253,75.8655
Jabalpur,Red,23.1667,79.9333
Jhabua,Green,22.7700,74.6000
Katni,Green,23.4800,80.4000
Khandwa,Red,21.8314,76.3400
Khargone,Orange,21.4900,75.3600
Mandla,Green,22.6000,80.3800
Mandsaur,Orange,24.0300,75.0800
Morena,Orange,26.5000,78.0000
Narsinghpur,Green,22.9470,79.1920
Neemuch,Orange,24.4500,74.8700
"Niwari, Madhya Pradesh",Green,25.4300,79.7100
Panna,Green,24.2700,80.1700
Raisen,Orange,23.3300,77.8000
Rajgarh,Green,24.0300,76.8800
Ratlam,Orange,23.3340,75.0370
Rewa,Green,24.5300,81.3000
Sagar,Orange,23.8380,78.7378
Satna,Green,24.1600,80.8300
Sehore,Orange,23.2000,77.0800
Rewa MP,Green,24.5360,81.3030
Shahdol,Orange,23.3022,81.3568
Shajapur,Orange,23.4246,76.2757
Sheopur,Orange,25.6700,76.7000
Shivpuri,Green,25.4300,77.6500
Sidhi,Green,24.3956,81.8825
Singrauli,Green,24.2020,82.6660
Tikamgarh,Orange,24.8069,78.8625
Ujjain,Red,23.1828,75.7772
Umaria,Green,23.3800,81.1000
Vidisha,Orange,23.5300,77.8200
Aizawl,Green,23.7272,92.7178
Champhai,Green,23.4560,93.3290
Hnahthial,Green,22.9826,92.9113
Khawzawl,Green,23.5251,93.1612
Kolasib,Green,24.2311,92.6761
Lawngtlai,Green,22.5336,92.8965
Lunglei,Green,22.8800,92.7300
Mamit,Green,23.9300,92.4800
Saiha,Green,22.4800,92.9700
Saitual,Green,23.6896,92.9557
Serchhip,Green,23.3417,92.8502
Dimapur,Green,25.9090,93.7260
Kiphire,Green,25.8680,94.7850
Kohima,Green,25.6667,94.1167
Longleng,Green,26.4685,94.8092
Mokokchung,Green,26.3167,94.5167
Mon,Green,26.7330,95.0610
Peren,Green,25.5540,93.7406
Phek,Green,25.6667,94.5000
Tuensang,Green,26.2716,94.8314
Wokha,Green,26.1000,94.2700
Zunheboto,Green,25.9700,94.5200
Angul,Red,20.7972,85.0239
Balangir,Orange,20.7000,83.5000
Balasore,Red,21.4900,86.9300
Bargarh,Green,21.3300,83.6200
Bhadrak,Red,21.0600,86.5000
Boudh,Green,20.8330,84.3330
Cuttack,Green,20.2700,85.5200
Deogarh,Orange,21.5380,84.7280
Dhenkanal,Orange,20.6500,85.6000
Gajapati,Green,19.1910,84.2000
Ganjam,Red,19.3800,85.0700
Jagatsinghpur,Orange,20.2700,86.1700
Jajpur,Red,20.8500,86.3300
Jharsuguda,Orange,21.8500,84.0300
Kalahandi,Orange,20.0830,83.2000
Kandhamal,Green,20.1081,84.0417
